precipitacao;temperatura;umidade;velocidade
0;20,76;71;1,666667
72,5;20,62;76;2,666667
53,6;22,52;64,25;2
0;21,6;63,75;1,333333
0;23,3;57,25;2,333333
0;24,44;54,75;2
0;22,34;66,25;2,333333
14,2;22,02;74;1,666667
10,2;23,62;62,75;1,68592
0;21,7;81,5;1,666667
15,7;21,82;77;0,666667
70,2;22,9;79,5;1,68592
1,4;20,56;91,5;2
2,9;20,32;93,75;4
20,6;19,92;85,5;1,666667
29;20,14;84,75;0
0;22,36;70;2,34296
0,2;21,6;80;1,333333
14;19,64;94,5;0
24,1;20,06;89,5;2
23,2;20,7;85,25;1
26,3;21,52;79,25;1,666667
0;20,92;85;0,68592
71,3;20,9;87,75;0
13,7;21,3;89,75;1,34296
1,2;21,84;84,5;0
1,8;21,7;87,25;2,666667
22,4;20,82;88,75;0,333333
44,4;20,76;80;1,34296
0;21,46;83;4
6,2;21,64;80,25;1,34296
2,4;21,42;84;0
16,4;20,18;87,25;1,34296
2,2;19,46;95,5;0
27,4;19,44;87,75;1,34296
3,4;20,92;78;2,666667
0,2;21,6;73,5;2,009627
0;22,48;65,5;1,666667
0;22,98;59,75;1,352587
0;23,38;63;1
0;22,24;72;2,676293
0,1;22,2;74,25;1
3,8;20,54;87,5;0,676293
49,4;21,46;75,25;0
0;20,82;80,25;2,333333
0;21,56;79,75;2,333333
0;21,42;92,75;2,666667
44,2;22,08;73,5;1
1,4;21,16;81,25;1,352587
28;21,24;80,5;0
14,4;21,54;77,75;1,02888
0;21,48;75;0,34296
0;21,16;77;1,009627
0;20,32;83;2,333333
5,1;22,3;68,5;2,333333
0;21,08;72;3
0;21,28;61,25;4,333333
0;22,28;57;2,333333
0;22,72;47,75;3,009627
0;22,26;45;3
0;20,44;63,5;1,009627
0;22,14;60,5;2
0;22,18;47,5;1,666667
0;22,88;52;1,34296
0;23,54;57;2
0;23,08;69;1,666667
7,5;22,72;73,25;1,34296
0;22,42;73,25;1,7148
0;22,38;77,75;2
29,9;21,64;82,75;0,68592
2,5;21,78;80,5;4
12,7;20,96;84,75;0
0,7;20,58;85,25;3,333333
2;19,78;78,25;5
0;18,9;74;2,666667
0;20,06;64,25;2,333333
0;21,42;60;3
0;21,96;69,75;1
