precipitacao;temperatura;umidade
0;23,54;56
0;22,06;61,75
0;22,08;60
0;22,12;62,5
0;22,2;58,5
0;21,46;52
0;21,22;52
0;22,38;48,75
0;22,4;58
0;22,68;63
0;21,88;79,25
0;21,64;76,75
13,3;22,52;67,75
0;22,42;59,75
0;21,66;59
0;19,82;64
0;19,94;65,75
0;21,48;63,5
0;22,28;62,25
0;21,76;61,5
0;22,2;60,75
0;21,38;76,75
0;18,84;78,25
0;12,18;47,75
0;11,64;57
0;13,22;56,75
0;17,24;39,25
0;17,2;55
0;19,88;53
0;19,78;56,5
0;18,24;53,5
0;18,88;62,5
0;19,42;67,25
0;19,24;59
0;18,28;54,25
0;19,96;52,25
0;21,14;38
0;20,86;43
0;20,58;50
0;20,64;48
0;20,36;54
0;18,66;65,25
0;19,06;54,75
0;19,98;56,25
0;21,28;41,5
0;20,2;51,25
0;21,14;51,75
0;19,04;71,25
0;19,64;72,75
0;19,9;63,75
0,2;20,72;52,75
0;20,1;67,75
0;20;55,25
0;19,04;40,25
0;19,9;58,5
0;19,72;48,25
0;20,02;53,75
0;19,54;53
0;20,3;53,5
0;19,84;51
0;19,8;51,5
0;19,18;44
0;19,02;49,5
0;18,98;51,75
0;18,44;52,75
0;18,72;51
0;19,28;46,25
0;17,88;62,75
0;19,34;53,25
0;18,76;58
0;17,7;47,5
0;18,5;56
0;18,32;55
0;19,28;63,25
0;19,54;60
0;18,14;59,5
0;18,38;56,75
0;17,74;61,5
0;18,32;51
0;19,9;41
0;19,82;51
0;19,54;49
0;19,46;52,25
0;19,88;44,5
0;19,22;46,75
0;19,26;57,25
0;18,94;51,5
0;19,44;51,75
0;19,26;46
0;19,36;43,75
0;19,86;46,5
0;19,88;48,25
0;18,72;50,5
0;18,08;54
0;18,8;52,5
0;19,5;42,5
0;20,54;50,25
0;21,32;37,5
0;21,36;43,5
0;22,28;41,25
0;21,92;41
0;21,14;42,25
0;21,1;39
0;21,7;36,25
0;22,9;36,5
0;23,8;36
0;21,78;50,75
0;20,58;57,75
0;16,94;44,75
0;20,4;38,5
0;20,9;49
0;21,18;42,25
0;21,16;36,75
0;22,2;37,75
0;22,58;33,25
0;22,52;36,75
0;22,02;41,75
0;19,72;45,25
0;18,98;47,25
0;19,26;43,25
0;19,5;43,75
0;20,34;38
0;21,18;38,5
0;21,28;39,25
0;21,36;40,75
0;22,2;37,5
0;21,84;40
0;21,76;39,75
0;19,32;53,25
0;18,72;37,5
0;22,36;22,5
0;23,44;26,25
0;24,02;24,75
0;21,74;48,75
0;20,9;49,5
0;23,06;34,75
0;22,4;33,25
0;23,3;27,75
0;25,16;18,25
0;25,42;23
0;26,44;20,5
0;25,6;28
0;23,96;49,25
0;24,2;50,25
0,1;23,2;47
5,7;21,72;70
9,2;22,04;63,5
0;23,54;64,25
0;23,28;65,25
7;21,92;89,25
12,5;21;79,25
0;22,52;68,5
0;20,92;78,75
0;22,74;58,75
0;23,18;62,5
0;23,94;49,25
0;24,12;58,75
0;24,5;50
0;23,58;57,5
0;22,42;62,5
0;23,24;60,75
0;23,5;61,25
0;21,84;73,5
0;24,16;56,5
0;21,5;71,75
0,1;23,48;59
0,6;23,14;59,5
0;23,94;43,75
0;26,02;30,25
0;25,58;28
0;24,7;31,75
0;24,84;35
0;24,22;38,75
0;23,56;37,25
0;25,54;26,5
0;25,66;30,25
0;26,56;39,25
0;26,3;32,75
0;23,52;64,75
0,3;23,82;54,5
0,9;20,62;83,5
1;20,88;72,75
0;24,28;48
0;22,62;59,75
1,4;22,6;63,5
14,3;23,74;53,5
0,7;22,58;70,25
0,3;23,86;59
0;22,88;83,5
15,2;22,2;78,5
33,9;19,24;90,5
